"data";"1THB";"1USD";"1AUD";"1HKD";"1CAD";"1NZD";"1SGD";"1EUR";"100HUF";"1CHF";"1GBP";"1UAH";"100JPY";"1CZK";"1DKK";"100ISK";"1NOK";"1SEK";"1HRK";"1RON";"1BGN";"1TRY";"1ILS";"100CLP";"1PHP";"1MXN";"1ZAR";"1BRL";"1MYR";"1RUB";"10000IDR";"100INR";"100KRW";"1CNY";"1XDR"
2016-03-04;0,1116;3,9545;2,9141;0,509;2,9396;2,668;2,8601;4,334;1,3985;3,9822;5,5894;0,1478;3,4768;0,1602;0,581;3,0586;0,4611;0,4641;0,5702;0,9703;2,2159;1,3559;1,0124;0,5763;0,0843;0,2203;0,2523;1,0404;0,9654;0,0539;3,0097;5,8766;0,3286;0,6057;5,4962
2016-03-07;0,1115;3,9515;2,9227;0,5087;2,958;2,668;2,8556;4,3292;1,4019;3,9532;5,5911;0,1505;3,4816;0,16;0,5802;3,0628;0,4633;0,4642;0,5712;0,97;2,2135;1,3498;1,0114;0,5796;0,0842;0,2211;0,2566;1,0515;0,9656;0,0549;3,0189;5,8853;0,3275;0,6059;5,4777
2016-03-08;0,111;3,9333;2,9229;0,5064;2,9471;2,6572;2,8416;4,3325;1,3925;3,9664;5,5986;0,1498;3,4823;0,1601;0,5806;3,0597;0,4589;0,4634;0,5713;0,9707;2,2151;1,3456;1,0054;0,579;0,0838;0,2204;0,2547;1,04;0,9572;0,0548;2,9924;5,835;0,3255;0,6043;5,4858
2016-03-09;0,1115;3,9395;2,9456;0,5073;2,9402;2,6672;2,8503;4,3215;1,3917;3,9468;5,6065;0,1507;3,5032;0,1598;0,5792;3,0541;0,4603;0,4646;0,5703;0,9682;2,2096;1,3537;1,0072;0,5772;0,0841;0,2204;0,2553;1,049;0,9565;0,0545;2,9973;5,8565;0,3249;0,6048;5,4504
2016-03-10;0,1116;3,932;2,939;0,5065;2,9627;2,6233;2,8482;4,3131;1,391;3,9447;5,5869;0,1542;3,4678;0,1595;0,5782;3,0546;0,4613;0,465;0,5709;0,967;2,2053;1,3585;1,0092;0,5788;0,0843;0,2217;0,2585;1,0691;0,9606;0,0555;3,0082;5,8674;0,3275;0,6036;5,4619
2016-03-11;0,1106;3,8903;2,9175;0,5013;2,9388;2,6008;2,825;4,3226;1,3921;3,9409;5,5543;0,1502;3,4179;0,1597;0,5794;3,0722;0,4565;0,4642;0,5712;0,9684;2,2101;1,3529;1,003;0,5698;0,0835;0,2196;0,2548;1,0785;0,9533;0,0555;2,9768;5,7882;0,3267;0,5985;5,5279
2016-03-14;0,1097;3,847;2,9064;0,496;2,9071;2,5891;2,7994;4,2813;1,3791;3,8983;5,5307;0,1452;3,3878;0,1583;0,574;3,0461;0,4545;0,4608;0,565;0,9587;2,189;1,3344;0,9922;0,5633;0,0825;0,2171;0,251;1,0757;0,9367;0,0548;2,9468;5,7417;0,3247;0,5926;5,3847
2016-03-15;0,1101;3,8649;2,8853;0,4984;2,8871;2,5704;2,7992;4,2824;1,3819;3,9107;5,4738;0,144;3,4169;0,1583;0,5742;3,0469;0,4532;0,4627;0,5666;0,958;2,1895;1,3385;0,9926;0,5679;0,0826;0,2162;0,2471;1,0562;0,9324;0,0547;2,9346;5,7401;0,3239;0,594;5,3747
2016-03-16;0,1106;3,8749;2,8909;0,4993;2,8981;2,5615;2,8065;4,298;1,3812;3,9192;5,4703;0,1439;3,4117;0,1589;0,5764;3,0591;0,4516;0,4652;0,5683;0,9597;2,1975;1,3344;0,9935;0,5641;0,0828;0,2169;0,2407;1,0284;0,9325;0,0547;2,92;5,7564;0,3248;0,5944;5,3923
2016-03-17;0,1094;3,8037;2,901;0,4905;2,9269;2,5929;2,8052;4,2989;1,3839;3,9143;5,4355;0,1426;3,4137;0,1589;0,5765;3,051;0,4541;0,4664;0,5697;0,9602;2,198;1,3311;0,9881;0,5598;0,0821;0,2174;0,2447;1,0168;0,9374;0,0555;2,9054;5,7071;0,3276;0,5867;5,4093
